collection||شعب الإيمان
hadith|4342|أخبرنا أبو عبد الله الحافظ وأبو صادق العطار قالا 1 نا أبو العباس محمد بن يعقوب نا الحسن بن مكرم نا أبو النصر نا عاصم بن محمد العمري عن أبيه قال أعطى عبد الله بن جعفر عبد الله بن عمر بنافع عشرة آلاف درهم أو ألف دينار فدخل عبد الله على صفية امرأته فقال إنه أعطاني بن جعفر بنافع عشرة آلاف درهم أو ألف دينار 2 فقلت 3 يا أبا عبد الرحمن فما تنتظر أن تبيع قال فهلا ما هو خير من ذلك هو حر لوجه الله قال فكان يخيل الي 4 أن بن عمر كان ينوي قول الله عز وجل 5 لن تنالوا البر حتى تنفقوا مما تحبون
hadith|4343|أخبرنا أبو علي بن شاذان البغدادي بها أنا عبد الله بن جعفر النحوي نا يعقوب بن سفيان نا أبو محمد عبيد الله بن موسى العبسي نا هشام بن عروة عن أبيه عن أبي مراوح عن أبي ذر قال سألت النبي صلى الله عليه وسلم أي العمل افضل قال ايمان بالله عز وجل 1 وجهاد في سبيله قلت فأي الرقاب افضل قال اغلاها ثمنا وأنفسها عند اهلها قلت فإن لم أفعل قال تعين صانعا أو تصنع لاخرق قال قلت فإن لم افعل قال تدع الناس من الشر فانها صدق تصدق بها على نفسك رواه البخاري عن عبيد الله بن موسى وأخرجه البخاري من وجه آخر عن هشام
hadith|4344|أخبرنا أبو الحسين بن الفضل القطان ببغداد 1 نا أبو سهل بن زياد القطان نا محمد بن يونس نا عبد الملك بن قريب الاصمعي نا شبيب بن شيبة قال كنا بطريق مكة وبين أيدينا سفرة لنا نتغذى في يوم قائظ فوقف علينا اعرابي ومعه جارية له زنجية فقال يا قوم أفيكم أحد يقرأ كلام الله حتى يكتب لي 2 كتابا قال قلنا أصب من غدائنا حتى نكتب لك ما تريد
hadith|4345|أخبرنا أبو عبد الرحمن السلمي نا أبو الحسن الكازري أنا علي بن عبد العزيز عن أبي عبيد نا يزيد عن جرير بن حازم عن بن سيرين عن أفلح مولى أبي أيوب أن عمر بعث إلى معاذ بن عفر بحلة قال أفلح فأمرني أن ابيعها وأشتري بثمنها 1 رقيقا فبعتها واشتريت له خمسة ارؤس 2 قال فاعتقهم ثم قال أن رجلا اختار قشرتين على عتق 3 هؤلاء لا أحسن الرأي فقال قشرتين يعني ثوبين
hadith|4346|أخبرنا أبو الحسين بن الفضل القطان أنا علي بن عبد الرحمن بن ماتي الكوفي نا أحمد بن حازم بن أبي عررة أنا ثابت بن محمد نا زايدة بن قدامة عن هشام بن عروة عن فاطمة بنت المنذر عن اسماء قالت ولقد أمر النبي صلى الله عليه وسلم بالعتاق في كسوف الشمس رواه البخاري عن الربيع بن يحيى وغيره عن زايدة
hadith|4347|أخبرنا أبو علي الروذباري أنا الحسين 1 بن الحسن بن أيوب الطوسي نا أبو خالد 2 العقيلي نا عبد الله بن رجاء نا اسرائيل بن يونس عن أبي إسحاق عن أبي حبيب الازدي عن أبي الدرداء قال قال رسول الله صلى الله عليه وسلم مثل الذي يعتق عند الموت مثل الذي يهدي اذا شبع
chapter||الحادي والثلاثون من شعب الايمان وهو باب في الكفارات الواجبات بالجنايات
chapter||الثاني والثلاثون من شعب الايمان وهو باب في الايفاء بالعقود
hadith|4348|وقال النبي صلى الله عليه وسلم المسلمون عند شروطهم أخبرنا أبو سعد الماليني أنا أبو أحمد بن عدي أنا بهلول الانباري نا إبراهيم بن حمزة بن محمد بن حمزة بن مصعب بن الزبير بن العوام نا عبد العزيز بن أبي حازم عن كثير بن زيد وأخبرنا علي بن أحمد بن عبدان أنا أحمد بن عبيد نا محمد بن خلف المروزي نا إبراهيم بن حمزة نا عبد العزيز بن أبي حازم وسفيان بن حمزة عن كثير بن زيد عن الوليد بن رباح عن أبي هريرة أن النبي صلى الله عليه وسلم قال المسلمون على شروطهم قال وزاد سفيان في حديثه ما وافق الحسن منها قال الحليمي رحمه الله فكل 1 من عقد عقدا من العقود التي أثبتتها الشريعة وجعلت لها حكما بين يدي 2 الله تعالى 3 وبين العبد أو بين العباد بعضهم مع 4 بعض فصح ذلك منه وانعقد عليه ولزمه فعليه أن يوفي به فذكر من جمله ذلك عقد الاسلام وتقبله ثم عقد الصوم المفروض ثم عقد الاحرام ثم نذر ما يكون طاعة وقد ورد في النذر عن النبي صلى الله عليه وسلم أخبارا منها ما
hadith|4349|أخبرنا أبو عبد الله الحافظ نا أبو العباس محمد بن يعقوب أنا محمد بن عبد الله بن عبد الحكم أنا بن وهب أخبرني مالك بن أنس عن طلحة بن عبد الملك الايلي عن القاسم بن محمد عن عائشة زوج النبي صلى الله عليه وسلم عن رسول الله صلى الله عليه وسلم 1 قال من نذر أن يطيع الله فليطعه ومن نذر أن يعصي الله 2 فلا يعصه أخرجه البخاري في الصحيح 3 من حديث مالك
hadith|4350|أخبرنا أبو علي الحسين بن محمد الروذباري أنا الحسين بن الحسن بن أيوب الطوسي نا أبو يحيى بن أبي مسرة 1 نا خلاد بن يحيى نا سفيان الثوري ح واخبرنا أبو عبد الله الحافظ حدثني بكير بن أحمد بن سهل الحداد الصوفي بمكة نا بشر بن موسى الاسدي نا أبو نعيم نا سفيان عن منصور عن عبد الله بن مرة عن بن عمر قال نهى رسول الله صلى الله عليه وسلم عن النذر وقال انه لا يرد شيئا انما يستخرج به من الشحيح وفي رواية خلاد ولكن يستخرج به من الشحيح 2 رواه البخاري في الصحيح عن أبي نعيم وأخرجه مسلم من وجه آخر عن سفيان وخلاد بن يحيى وفيه دلالة على وجوب ما التزمه بالنذر فلولا وجوبه لما 3 حصل به الاستخراج من البخيل وورد في الصداق ما
hadith|4351|أخبرنا أبو محمد جناح بن نذير بن جناح بالكوفة نا أبو جعفر محمد بن علي بن دحيم نا أحمد بن حازم بن أبي غرزة أنا عبيد 1 الله بن موسى أنا عبد الحميد بن جعفر عن يزيد بن أبي حبيب عن مرثد بن عبد الله عن عقبة بن عامر الجهني قال قال رسول الله 2 صلى الله عليه وسلم ان أحق الشروط أن يوفى به ما استحللتم به فروج النساء أخرجه مسلم في الصحيح من أوجه عن عبد الحميد
